Fecha,Bitcoin,Ethereum,Binance Coin,Aave,Solana,Polkadot,Chainlink,Avalanche,Algorand,Polygon
2013-08-08,101.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09,103.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10,102.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-11,103.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,105.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-13,106.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-14,111.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-15,111.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17,112.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-18,114.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,118.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-20,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-21,121.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-22,122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-23,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-24,120.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-25,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-26,122.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-27,125.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-28,123.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-29,123.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-30,129.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-31,137.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,138.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-02,137.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-03,137.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-04,135.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
